PropertyID,PropType,taxkey,Address,CondoProject,District,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
98423,Commercial,0010021000,9300 N 124TH ST,,9,6202,Warehouse Building - 1 Story,Metal Siding,1,2002,NULL,5834,1,NULL,0,0,392040,2024-01-24,500000.00
98576,Residential,0050057000,9311 N 85TH ST,,9,0040,Split Level,Aluminum/Vinyl,1,1985,6,1668,1,3,1,1,12900,2024-03-08,250000.00
98722,Condominium,0070043000,"9232 N 70TH ST, Unit 7",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2.0,1973,7,1437,1,4,2,1,0,2024-01-10,120000.00
98901,Condominium,0310286000,9103 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2.0,1973,5,1295,1,2,1,1,1,2024-02-09,124000.00
99216,Residential,0330127000,9115 N 86TH ST,,9,0040,Ranch,Aluminum/Vinyl,1,1978,6,1467,1,3,1,1,7808,2024-05-17,305000.00
99310,Condominium,0330292000,8427 W ALLYN CT,GRANVILLE HEIGHTS,9,5049,Low Rise 1-3 Stories,,1,1980,5,1018,1,2,1,0,1,2024-02-01,60000.00
99413,Condominium,0340362000,"8866 N 95TH ST, Unit d",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054,1,3,1,1,1,2024-01-22,35000.00
99427,Condominium,0340376000,"8872 N 95TH ST, Unit h",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054,1,3,1,1,1,2024-03-29,59500.00
99495,Condominium,0340538000,"8859 N SWAN RD, Unit m",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,6,1249,1,4,1,1,1,2024-03-06,80000.00
99515,Condominium,0340558000,"8877 N SWAN RD, Unit B",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054,1,3,1,1,1,2024-01-05,60000.00
99773,Condominium,0340822000,"8910 N 95TH ST, Unit m",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,6,1249,1,4,1,1,1,2024-02-05,27500.00
99846,Condominium,0341037000,"8931 N SWAN RD, Unit g",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054,1,3,1,1,1,2024-02-16,75500.00
99873,Condominium,0341064000,"9011 N SWAN RD, Unit b",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054,1,3,1,1,1,2024-01-24,62000.00
99888,Condominium,0341079000,"9021 N SWAN RD, Unit e",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054,1,3,1,1,1,2024-02-14,40000.00
